combined_info
"Product name: Men's 3X Large Carbon Heather Cotton/Polyester Rain Defender Paxton Heavyweight Hooded Zip-Front Sweatshirt. URL: https://www.homedepot.com/p/Carhartt-Men-s-3X-Large-Carbon-Heather-Cotton-Polyester-Rain-Defender-Paxton-Heavyweight-Hooded-Zip-Front-Sweatshirt-100614-026/310090686. Overview: This heavyweight, water-repellent hooded sweatshirt has a zip front for fast layering. ORIGINAL FIT. 13 oz., 75% cotton/25% polyester blend with Rain Defender durable water repellent. Attached, jersey-lined three-piece hood with drawcord closure. Antique-finish brass front zipper. Two front hand-warmer pockets have a hidden security pocket inside. Stretchable, spandex-reinforced rib-knit cuffs and waistband. Locker loop facilitates hanging.. Brand: Carhartt. Availability: InStock. Price: 64.99 USD"
"Product name: Turmode 30 ft. RP TNC Female to RP TNC Male Adapter Cable. URL: https://www.homedepot.com/p/Turmode-30-ft-RP-TNC-Female-to-RP-TNC-Male-Adapter-Cable-WL6068/206724580. Overview: If you need more length between your existing wireless device and Hi-Gain Antenna, this is the product for you. It's compatible with most Wi-Fi Antennas, so it is easy for you to extend your wireless network. Just replace your existing cable that runs between your wireless device and Antenna and you're ready to use your network with extended range.. Brand: Unbranded. Availability: InStock. Price: 71.61 USD"
"Product name: Large Tapestry Bolster Bed. URL: https://www.homedepot.com/p/Carolina-Pet-Company-Large-Tapestry-Bolster-Bed-011260/310347105. Overview: Polyester cover resembling rich Italian tapestries wraps your pet in comfort and style. 100% recycled polyester high loft MemoryFiber fill keeps pets elevated off cold floors for relief on tired joints and pressure points. A great fit for pets up to 100 lbs. Zippered removable cover is machine washable in cold water only. To dry, use a delicate cycle or gentle setting with very low heat.. Brand: Carolina Pet Company. Availability: InStock. Price: 166.83 USD"
Product name: 16-Gauge-Sinks Vessel Sink in White with Faucet. URL: https://www.homedepot.com/p/16-Gauge-Sinks-Vessel-Sink-in-White-with-Faucet-16GS-22478/312338711. Overview: It features a rectangle shape. This vessel set is designed to be installed as a undermount vessel set. It is constructed with ceramic. This vessel set comes with an enamel glaze finish in White color. It is designed for a deck mount faucet.. Brand: Unbranded. Availability: InStock. Price: 507.63 USD
Product name: Men's Crazy Horse 9'' Logger Boot - Steel Toe - Black Size 10.5(W). URL: https://www.homedepot.com/p/Adtec-Men-s-Crazy-Horse-9-Logger-Boot-Steel-Toe-Black-Size-10-5-W-1439/308561619. Overview: This 9 in. black full grain leather logger boot is Tough. With plain soft toe and rubber outsole it provides dependable traction with a comfortable fit. It is made with Goodyear Welt Construction so it is sturdy and secure.. Brand: Adtec. Availability: InStock. Price: 103.59 USD
"Product name: Mariana 6 ft. Multi-Color 3-Panel Screen Divider. URL: https://www.homedepot.com/p/HomeRoots-Mariana-6-ft-Multi-Color-3-Panel-Screen-Divider-274613/312917264. Overview: With robust structure and sophisticated canvas printing, this 3-panel screen is colorfully designed to be a great way to carve out space in your room or anywhere around the home. Not only will this elegant piece give you the needed exclusivity but it will also add inspiring style and beauty to your decor. This screen creatively features canvas print of a different and complementary images on each side. With its lightweight construction, our screen will definitely fill your space with inspiring visual flair for many-Years to come. 3-panel screen finished on both sides Canvas printing.. Brand: HomeRoots. Availability: InStock. Price: 550.24 USD"
"Product name: 5 gal. #650C-2 Powdery Mist Semi-Gloss Interior Paint. URL: https://www.homedepot.com/p/BEHR-PRO-5-gal-650C-2-Powdery-Mist-Semi-Gloss-Interior-Paint-PR37005/316216346. Overview: BEHR PRO i300 Semi-Gloss Interior Paint has a sleek, radiant sheen appearance. This professional quality latex paint has superior hide and coverage, excellent sprayability, spray and back-roll, and superior touch-up. Use on properly prepared and primed drywall, concrete, masonry, wood and metal surfaces in both residential and commercial applications.. Brand: BEHR PRO. Availability: InStock. Price: 118.0 USD"
Product name: Ring Gold Bar Cart. URL: https://www.homedepot.com/p/Titan-Lighting-Ring-Gold-Bar-Cart-TN-892747/300980025. Overview: This Ring Bar Cart is sure to make a statement in any room. This carts features a metal frame in gold and the two shelves are made of mirror with an antique finish. We offer a wide variety of furniture and decorative accessories to meet all of your decor needs.. Brand: Titan Lighting. Availability: InStock. Price: 278.0 USD
Product name: Traditional Silver Wooden Vanity Table. URL: https://www.homedepot.com/p/Benjara-Traditional-Silver-Wooden-Vanity-Table-BM132007/312271339. Overview: This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.. Brand: Benjara. Availability: InStock. Price: 354.11 USD
"Product name: 15 in. x 59 in. Open Louvered Polypropylene Shutters Pair in Peppercorn. URL: https://www.homedepot.com/p/Ply-Gem-15-in-x-59-in-Open-Louvered-Polypropylene-Shutters-Pair-in-Peppercorn-VINLV1559-PE/310824974. Overview: Its easy to add a decorative touch to your home with these beautiful Louvered Shutters from Ply Gem. Inspired by the classic Old World and early American style, they capture the rich, natural texture of real wood without the splitting, cracking and peeling. Built strong and thick, they're high quality and simple to install. Best of all, they're guaranteed to last a lifetime. Ply Gem shutters feature a tough acrylic coating to protect against sun, wind and rain, and they come in a wide variety of standard heights and widths as well as special order sizes to fit virtually any window. Ply Gem Louvered Shutters can be paired with arched tops to accent circle top windows for added height and impact.. Brand: Ply Gem. Availability: InStock. Price: 67.15 USD"
